Crop-wise,Yield in kg/hectare,Yield kg/acre
Rice,2705,1095
Wheat ,3421,1384
Jowar,1005,407
Bajra ,1368,553
Maize,2945,1192
Ragi,1761,713
Small Millets  ,835,338
Barley,2802,1134
Coarse Cereals,1976,800
Tur ,842,341
Gram,1116,451
Urad,453,183
Moong,544,220
Lentil,894,362
Other Kharif Pulses,467,189
Other Rabi Pulses,961,389
Groundnut,2065,836
Castorseed,1765,714
Sesamum,463,187
Nigerseed,305,123
Soyabean,928,375
Sunflower,891,361
Rapesees & Mustard,1345,544
Linseed,581,235
Safflower,694,281
Sugarcane,77893,31522
Cotton,451,183
Jute,2686,1087
Mesta,1993,807
